category,company,description,title,review,stars,texto,texto_ligero,texto_pesado,nlptown_stars,nlptown_score,topic_id,topic_score,topic_nombre,sentimiento
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",My experience with Virgin money credit card ,"I am very happy with the way this company has helped me to use their sevice .  Transitioning to this company was better rate than I was getting with card.  Customer service is great , the app is easy to use so very much recommend. ",5,"My experience with Virgin money credit card  I am very happy with the way this company has helped me to use their sevice .  Transitioning to this company was better rate than I was getting with card.  Customer service is great , the app is easy to use so very much recommend. ","My experience with Virgin money credit card  I am very happy with the way this company has helped me to use their sevice .  Transitioning to this company was better rate than I was getting with card.  Customer service is great , the app is easy to use so very much recommend.",experience virgin money credit card happy way company helped sevice transitioning company better rate getting card customer service great app easy recommend,5,0.8727,1,0.1694,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",The only bank that was willing to allow…,The only bank that was willing to allow us to amalgamate our credit card debt on to one card to make monthly repayments easier. ,5,The only bank that was willing to allow… The only bank that was willing to allow us to amalgamate our credit card debt on to one card to make monthly repayments easier. ,The only bank that was willing to allow… The only bank that was willing to allow us to amalgamate our credit card debt on to one card to make monthly repayments easier.,bank willing allow bank willing allow amalgamate credit card debt card monthly repayments easier,5,0.311,1,0.2174,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Help with my credit card,I have just received my credit card and I was not sure how to set up something. When I rang customer services they were extremely helpful and then everything became clear. ,5,Help with my credit card I have just received my credit card and I was not sure how to set up something. When I rang customer services they were extremely helpful and then everything became clear. ,Help with my credit card I have just received my credit card and I was not sure how to set up something. When I rang customer services they were extremely helpful and then everything became clear.,help credit card received credit card sure set rang customer services extremely helpful clear,5,0.6016,1,0.2874,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Satisfied customer,"-Easy to navigate the app,-Got a decision instantly when i applied for the credit card.- Been regularly updated on new features.-Phone lines were easily accessible not on been put in a que.-Transparent with fees and charges.",5,"Satisfied customer -Easy to navigate the app,-Got a decision instantly when i applied for the credit card.- Been regularly updated on new features.-Phone lines were easily accessible not on been put in a que.-Transparent with fees and charges.","Satisfied customer -Easy to navigate the app,-Got a decision instantly when i applied for the credit card.- Been regularly updated on new features.-Phone lines were easily accessible not on been put in a que.-Transparent with fees and charges.",satisfied customer easy navigate app decision instantly applied credit card regularly updated new features phone lines easily accessible que transparent fees charges,4,0.5572,1,0.1324,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Eat peasy,Went for a % balance transfer and purchases.....only took 3 days for the amount  to clear my old card and I had a new card within 1 week. No waiting for PIN numbers to arrive via the post as it was  all set up on line and everything explained. A very easy experience ,5,Eat peasy Went for a % balance transfer and purchases.....only took 3 days for the amount  to clear my old card and I had a new card within 1 week. No waiting for PIN numbers to arrive via the post as it was  all set up on line and everything explained. A very easy experience ,Eat peasy Went for a % balance transfer and purchases.....only took 3 days for the amount  to clear my old card and I had a new card within 1 week. No waiting for PIN numbers to arrive via the post as it was  all set up on line and everything explained. A very easy experience,eat peasy went balance transfer purchases took days clear old card new card waiting pin numbers arrive post set line explained easy experience,5,0.5544,1,0.1492,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Very happy with the person I spoke to…,Very happy with the person I spoke to on the phone. She was very helpfull as I was getting a little frustrated with my app. SHE managed to sort everything out for me i was very relieved.Has it was my first time using this app. SHE was very friendly and put me at ease thank you.,5,Very happy with the person I spoke to… Very happy with the person I spoke to on the phone. She was very helpfull as I was getting a little frustrated with my app. SHE managed to sort everything out for me i was very relieved.Has it was my first time using this app. SHE was very friendly and put me at ease thank you.,Very happy with the person I spoke to… Very happy with the person I spoke to on the phone. She was very helpfull as I was getting a little frustrated with my app. SHE managed to sort everything out for me i was very relieved.Has it was my first time using this app. SHE was very friendly and put me at ease thank you.,happy person spoke happy person spoke phone helpfull getting little frustrated app managed sort relieved using app friendly ease thank,5,0.5014,7,0.0701,App y banca digital,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Great banking company,"Great banking company, very knowledgeable and trustworthy.Always delivered and been there when needed advice etc.",5,"Great banking company Great banking company, very knowledgeable and trustworthy.Always delivered and been there when needed advice etc.","Great banking company Great banking company, very knowledgeable and trustworthy.Always delivered and been there when needed advice etc.",great banking company great banking company knowledgeable trustworthy delivered needed advice,5,0.8545,7,0.2696,App y banca digital,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Friendly and with easy to use app.,"Friendly and easy to use app.The Virgin money staff offer true professionalism and understanding of individual needs. The service was absolutely grand. Would advise people to not just take my word for it, give it a try and you will be truely impressed.",5,"Friendly and with easy to use app. Friendly and easy to use app.The Virgin money staff offer true professionalism and understanding of individual needs. The service was absolutely grand. Would advise people to not just take my word for it, give it a try and you will be truely impressed.","Friendly and with easy to use app. Friendly and easy to use app.The Virgin money staff offer true professionalism and understanding of individual needs. The service was absolutely grand. Would advise people to not just take my word for it, give it a try and you will be truely impressed.",friendly easy app friendly easy app virgin money staff offer true professionalism understanding individual needs service absolutely grand advise people word try truely impressed,5,0.7477,6,0.1174,Proceso y solicitudes,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",What a great credit card!,What a great credit card!The application process was quick and simple... and the benefits are great.I'm a very happy virgin lady!,5,What a great credit card! What a great credit card!The application process was quick and simple... and the benefits are great.I'm a very happy virgin lady!,What a great credit card! What a great credit card!The application process was quick and simple... and the benefits are great.I'm a very happy virgin lady!,great credit card great credit card application process quick simple benefits great happy virgin lady,5,0.9632,1,0.263,Tarjetas y transferencias,positivo
Money & Insurance,uk.virginmoney.com,"Virgin Money is the UK’s 6th largest bank and a proud member of the Virgin Group. By making banking better, we aim to deliver on our purpose of ‘Making you happier about money’, offering award-winning products and services to meet the full range of our 6.6m customers' retail and business banking needs. Our strategic ambition is to be the UK’s best digital bank. 

",Very easy to open an account online my…,Very easy to open an account online my card & pin arrived promptly 5 stars from me & a bonus that you can use your card abroad without any fees being added to your account a win win in my book.,5,Very easy to open an account online my… Very easy to open an account online my card & pin arrived promptly 5 stars from me & a bonus that you can use your card abroad without any fees being added to your account a win win in my book.,Very easy to open an account online my… Very easy to open an account online my card & pin arrived promptly 5 stars from me & a bonus that you can use your card abroad without any fees being added to your account a win win in my book.,easy open account online easy open account online card pin arrived promptly stars bonus card abroad fees added account win win book,5,0.8823,6,0.1123,Proceso y solicitudes,positivo
